pincode,city,district,state,area
100000,Mumbai,Mumbai,Maharashtra,Exit Point
100001,Mumbai,Mumbai,Maharashtra,Hospital
100002,Mumbai,Mumbai,Maharashtra,Jellyfish
100003,Mumbai,Mumbai,Maharashtra,North
100004,Mumbai,Mumbai,Maharashtra,Market
100005,Mumbai,Mumbai,Maharashtra,Arts
100006,Mumbai,Mumbai,Maharashtra,Central
100007,Mumbai,Mumbai,Maharashtra,Suite
100008,Mumbai,Mumbai,Maharashtra,Startup Hub
100009,Mumbai,Mumbai,Maharashtra,Mussel
100010,Mumbai,Mumbai,Maharashtra,Downtown
100011,Mumbai,Mumbai,Maharashtra,Law
100012,Mumbai,Mumbai,Maharashtra,Manufacturing Hub
100013,Mumbai,Mumbai,Maharashtra,Mixed Use
100014,Mumbai,Mumbai,Maharashtra,Rabbit
100015,Mumbai,Mumbai,Maharashtra,West
100016,Mumbai,Mumbai,Maharashtra,Tech Park
100017,Mumbai,Mumbai,Maharashtra,Horticulture
100018,Mumbai,Mumbai,Maharashtra,Horticulture
100019,Mumbai,Mumbai,Maharashtra,Green City
100020,Mumbai,Mumbai,Maharashtra,Coral
100021,Mumbai,Mumbai,Maharashtra,Sector
100022,Mumbai,Mumbai,Maharashtra,Jellyfish
100023,Mumbai,Mumbai,Maharashtra,Central
100024,Mumbai,Mumbai,Maharashtra,Rabbit
100025,Mumbai,Mumbai,Maharashtra,Enclave
100026,Mumbai,Mumbai,Maharashtra,Fisheries
100027,Mumbai,Mumbai,Maharashtra,Suite
100028,Mumbai,Mumbai,Maharashtra,Coral
100029,Mumbai,Mumbai,Maharashtra,South
100030,Mumbai,Mumbai,Maharashtra,Fisheries
100031,Mumbai,Mumbai,Maharashtra,East
100032,Mumbai,Mumbai,Maharashtra,Border
100033,Mumbai,Mumbai,Maharashtra,North
100034,Mumbai,Mumbai,Maharashtra,Outskirts
100035,Mumbai,Mumbai,Maharashtra,Lobster
100036,Mumbai,Mumbai,Maharashtra,Sponge
100037,Mumbai,Mumbai,Maharashtra,Free Trade Zone
100038,Mumbai,Mumbai,Maharashtra,Crossing
100039,Mumbai,Mumbai,Maharashtra,Oyster
100040,Mumbai,Mumbai,Maharashtra,Commercial Area
100041,Mumbai,Mumbai,Maharashtra,Residential Area
100042,Mumbai,Mumbai,Maharashtra,Roundabout
100043,Mumbai,Mumbai,Maharashtra,Airport
100044,Mumbai,Mumbai,Maharashtra,Race Course
100045,Mumbai,Mumbai,Maharashtra,Midtown
100046,Mumbai,Mumbai,Maharashtra,Crossing
100047,Mumbai,Mumbai,Maharashtra,Transport Hub
100048,Pune,Pune,Maharashtra,Hospital
100049,Pune,Pune,Maharashtra,Poultry
100050,Pune,Pune,Maharashtra,Business District
100051,Pune,Pune,Maharashtra,Special Economic Zone
100052,Pune,Pune,Maharashtra,Smart City
100053,Pune,Pune,Maharashtra,Healthcare Hub
100054,Pune,Pune,Maharashtra,Industrial Estate
100055,Pune,Pune,Maharashtra,Modern City
100056,Pune,Pune,Maharashtra,Commerce
100057,Pune,Pune,Maharashtra,Poultry
100058,Pune,Pune,Maharashtra,Technology Hub
100059,Pune,Pune,Maharashtra,Sericulture
100060,Pune,Pune,Maharashtra,Financial District
100061,Pune,Pune,Maharashtra,Heritage Area
100062,Pune,Pune,Maharashtra,Smart City
100063,Pune,Pune,Maharashtra,Rabbit
100064,Pune,Pune,Maharashtra,Downtown
100065,Pune,Pune,Maharashtra,Central
100066,Pune,Pune,Maharashtra,Central
100067,Pune,Pune,Maharashtra,Complex
100068,Pune,Pune,Maharashtra,Commerce Hub
100069,Pune,Pune,Maharashtra,New City
100070,Pune,Pune,Maharashtra,Commerce Hub
100071,Pune,Pune,Maharashtra,Future City
100072,Pune,Pune,Maharashtra,Nursing
100073,Nagpur,Nagpur,Maharashtra,Midtown
100074,Nagpur,Nagpur,Maharashtra,Entertainment Zone
100075,Nagpur,Nagpur,Maharashtra,Smart City
100076,Nagpur,Nagpur,Maharashtra,Nursing
100077,Nagpur,Nagpur,Maharashtra,Sponge
100078,Nagpur,Nagpur,Maharashtra,Pig
100079,Nagpur,Nagpur,Maharashtra,Sea Anemone
100080,Nagpur,Nagpur,Maharashtra,Road
100081,Nagpur,Nagpur,Maharashtra,Avenue
100082,Nagpur,Nagpur,Maharashtra,Kunj
100083,Nagpur,Nagpur,Maharashtra,Sponge
100084,Nagpur,Nagpur,Maharashtra,Nagar
100085,Nagpur,Nagpur,Maharashtra,Kunj
100086,Nagpur,Nagpur,Maharashtra,Arts
100087,Nagpur,Nagpur,Maharashtra,Tourism Hub
100088,Nagpur,Nagpur,Maharashtra,Lane
100089,Nagpur,Nagpur,Maharashtra,Avenue
100090,Nagpur,Nagpur,Maharashtra,Business Park
100091,Nagpur,Nagpur,Maharashtra,Midtown
100092,Nagpur,Nagpur,Maharashtra,Enclave
100093,Nagpur,Nagpur,Maharashtra,Colony
100094,Nagpur,Nagpur,Maharashtra,Sericulture
100095,Thane,Thane,Maharashtra,Goat
100096,Thane,Thane,Maharashtra,Pharmacy
100097,Thane,Thane,Maharashtra,Special Economic Zone
100098,Thane,Thane,Maharashtra,Industrial Area
100099,Thane,Thane,Maharashtra,Industrial Area
100100,Thane,Thane,Maharashtra,Street
100101,Thane,Thane,Maharashtra,Barracks
100102,Thane,Thane,Maharashtra,Central
100103,Thane,Thane,Maharashtra,Square
100104,Thane,Thane,Maharashtra,Forestry
100105,Thane,Thane,Maharashtra,Outskirts
100106,Thane,Thane,Maharashtra,Entry Point
100107,Thane,Thane,Maharashtra,City
100108,Thane,Thane,Maharashtra,Transport Hub
100109,Thane,Thane,Maharashtra,Export Zone
100110,Thane,Thane,Maharashtra,East
100111,Thane,Thane,Maharashtra,SEZ
100112,Thane,Thane,Maharashtra,East
100113,Thane,Thane,Maharashtra,Financial District
100114,Thane,Thane,Maharashtra,Shopping District
100115,Thane,Thane,Maharashtra,Education Hub
100116,Thane,Thane,Maharashtra,Science
100117,Thane,Thane,Maharashtra,East
100118,Thane,Thane,Maharashtra,Sponge
100119,Thane,Thane,Maharashtra,Midtown
100120,Thane,Thane,Maharashtra,Tech Park
100121,Thane,Thane,Maharashtra,Special Economic Zone
100122,Thane,Thane,Maharashtra,Export Zone
100123,Thane,Thane,Maharashtra,Transport Hub
100124,Thane,Thane,Maharashtra,Science
100125,Thane,Thane,Maharashtra,Bus Stand
100126,Thane,Thane,Maharashtra,Free Trade Zone
100127,Thane,Thane,Maharashtra,Arts
100128,Thane,Thane,Maharashtra,Shopping District
100129,Thane,Thane,Maharashtra,Outskirts
100130,Thane,Thane,Maharashtra,Colony
100131,Thane,Thane,Maharashtra,Prawn
100132,Thane,Thane,Maharashtra,Jellyfish
100133,Thane,Thane,Maharashtra,Crossing
100134,Thane,Thane,Maharashtra,Circle
100135,Thane,Thane,Maharashtra,Startup Hub
100136,Thane,Thane,Maharashtra,Sericulture
100137,Thane,Thane,Maharashtra,Fish
100138,Thane,Thane,Maharashtra,Green City
100139,Thane,Thane,Maharashtra,Station
100140,Thane,Thane,Maharashtra,East
100141,Thane,Thane,Maharashtra,Wing
100142,Nashik,Nashik,Maharashtra,Traffic Circle
100143,Nashik,Nashik,Maharashtra,Trade Hub
100144,Nashik,Nashik,Maharashtra,Race Course
100145,Nashik,Nashik,Maharashtra,Heritage Area
100146,Nashik,Nashik,Maharashtra,Special Economic Zone
100147,Nashik,Nashik,Maharashtra,Starfish
100148,Nashik,Nashik,Maharashtra,Street
100149,Nashik,Nashik,Maharashtra,Kunj
