pincode,city,district,state,area
401303,Virar,Palghar,Maharashtra,Virar West
401301,Virar,Palghar,Maharashtra,Virar East
401302,Virar,Palghar,Maharashtra,Virar Central
401304,Virar,Palghar,Maharashtra,Virar North
401305,Virar,Palghar,Maharashtra,Virar South
400601,Thane,Thane,Maharashtra,Thane West
400602,Thane,Thane,Maharashtra,Thane East
400603,Thane,Thane,Maharashtra,Thane Central
400604,Thane,Thane,Maharashtra,Thane North
400605,Thane,Thane,Maharashtra,Thane South
400001,Mumbai,Mumbai,Maharashtra,Old City
400002,Mumbai,Mumbai,Maharashtra,Market
400003,Mumbai,Mumbai,Maharashtra,Engineering
400004,Mumbai,Mumbai,Maharashtra,Junction
400005,Mumbai,Mumbai,Maharashtra,Airport
400006,Mumbai,Mumbai,Maharashtra,Cultural District
400007,Mumbai,Mumbai,Maharashtra,Airport
400008,Mumbai,Mumbai,Maharashtra,Main
400009,Mumbai,Mumbai,Maharashtra,West
400010,Mumbai,Mumbai,Maharashtra,Junction
400011,Mumbai,Mumbai,Maharashtra,City
400012,Mumbai,Mumbai,Maharashtra,Outskirts
400013,Mumbai,Mumbai,Maharashtra,Shopping District
400014,Mumbai,Mumbai,Maharashtra,Arts
400015,Mumbai,Mumbai,Maharashtra,Arts
400016,Mumbai,Mumbai,Maharashtra,Digital City
400017,Mumbai,Mumbai,Maharashtra,GPO
400018,Mumbai,Mumbai,Maharashtra,University
400019,Mumbai,Mumbai,Maharashtra,Mixed Use
400020,Mumbai,Mumbai,Maharashtra,Arts
400021,Mumbai,Mumbai,Maharashtra,Central
400022,Mumbai,Mumbai,Maharashtra,Medical
400023,Mumbai,Mumbai,Maharashtra,Crossing
400024,Mumbai,Mumbai,Maharashtra,Commerce
400025,Mumbai,Mumbai,Maharashtra,Suburb
400026,Mumbai,Mumbai,Maharashtra,North
400027,Mumbai,Mumbai,Maharashtra,Hospital
400028,Mumbai,Mumbai,Maharashtra,Old City
400029,Mumbai,Mumbai,Maharashtra,Heritage Area
400030,Mumbai,Mumbai,Maharashtra,University
400031,Mumbai,Mumbai,Maharashtra,Medical
400032,Mumbai,Mumbai,Maharashtra,Science
400033,Mumbai,Mumbai,Maharashtra,South
400034,Mumbai,Mumbai,Maharashtra,Station
400035,Mumbai,Mumbai,Maharashtra,West
400036,Mumbai,Mumbai,Maharashtra,East
400037,Mumbai,Mumbai,Maharashtra,Nursing
400038,Mumbai,Mumbai,Maharashtra,Hospital
400039,Mumbai,Mumbai,Maharashtra,Medical
400040,Mumbai,Mumbai,Maharashtra,Nursing
400041,Mumbai,Mumbai,Maharashtra,Commerce
400042,Mumbai,Mumbai,Maharashtra,Commercial Area
400043,Mumbai,Mumbai,Maharashtra,Crossing
400044,Mumbai,Mumbai,Maharashtra,Junction
400045,Mumbai,Mumbai,Maharashtra,Residential Area
400046,Mumbai,Mumbai,Maharashtra,Business Park
400047,Mumbai,Mumbai,Maharashtra,Medical
400048,Mumbai,Mumbai,Maharashtra,Pharmacy
400049,Mumbai,Mumbai,Maharashtra,Outskirts
400050,Mumbai,Mumbai,Maharashtra,Digital City
400051,Mumbai,Mumbai,Maharashtra,North
400052,Mumbai,Mumbai,Maharashtra,Smart City
400053,Mumbai,Mumbai,Maharashtra,Cultural District
400054,Mumbai,Mumbai,Maharashtra,Commercial Area
400055,Mumbai,Mumbai,Maharashtra,Smart City
400056,Mumbai,Mumbai,Maharashtra,Shopping District
400057,Mumbai,Mumbai,Maharashtra,Market
400058,Mumbai,Mumbai,Maharashtra,Dental
400059,Mumbai,Mumbai,Maharashtra,Law
400060,Mumbai,Mumbai,Maharashtra,Science
400061,Mumbai,Mumbai,Maharashtra,Pharmacy
