pincode,city,district,state,area
400001,Mumbai,Mumbai,Maharashtra,Arts
400002,Mumbai,Mumbai,Maharashtra,Block
400003,Mumbai,Mumbai,Maharashtra,Crab
400004,Mumbai,Mumbai,Maharashtra,Sea Urchin
400005,Mumbai,Mumbai,Maharashtra,Race Course
400006,Mumbai,Mumbai,Maharashtra,Pig
400007,Mumbai,Mumbai,Maharashtra,Dental
400008,Mumbai,Mumbai,Maharashtra,Sector
400009,Mumbai,Mumbai,Maharashtra,Fisheries
400010,Mumbai,Mumbai,Maharashtra,Colony
400011,Mumbai,Mumbai,Maharashtra,Poultry
400012,Mumbai,Mumbai,Maharashtra,Nagar
400013,Mumbai,Mumbai,Maharashtra,Barracks
400014,Mumbai,Mumbai,Maharashtra,West
400015,Mumbai,Mumbai,Maharashtra,Main
400016,Mumbai,Mumbai,Maharashtra,GPO
400017,Mumbai,Mumbai,Maharashtra,Commerce
400018,Mumbai,Mumbai,Maharashtra,Dairy
400019,Mumbai,Mumbai,Maharashtra,Crab
400020,Mumbai,Mumbai,Maharashtra,Garden
400021,Mumbai,Mumbai,Maharashtra,Sea Urchin
400022,Mumbai,Mumbai,Maharashtra,Enclave
400023,Mumbai,Mumbai,Maharashtra,Barracks
400024,Mumbai,Mumbai,Maharashtra,Sea Urchin
400025,Mumbai,Mumbai,Maharashtra,Sea Urchin
400026,Mumbai,Mumbai,Maharashtra,Prawn
400027,Mumbai,Mumbai,Maharashtra,Clam
400028,Mumbai,Mumbai,Maharashtra,Law
400029,Mumbai,Mumbai,Maharashtra,Tower
400030,Mumbai,Mumbai,Maharashtra,Suite
400031,Mumbai,Mumbai,Maharashtra,Forestry
400032,Mumbai,Mumbai,Maharashtra,Engineering
400033,Mumbai,Mumbai,Maharashtra,Dental
400034,Mumbai,Mumbai,Maharashtra,Scallop
400035,Mumbai,Mumbai,Maharashtra,Garden
400036,Mumbai,Mumbai,Maharashtra,Avenue
400037,Mumbai,Mumbai,Maharashtra,Veterinary
400038,Mumbai,Mumbai,Maharashtra,Market
400039,Mumbai,Mumbai,Maharashtra,Mall
400040,Mumbai,Mumbai,Maharashtra,College
400041,Mumbai,Mumbai,Maharashtra,Circle
400042,Mumbai,Mumbai,Maharashtra,Square
400043,Mumbai,Mumbai,Maharashtra,Colony
400044,Mumbai,Mumbai,Maharashtra,Complex
400045,Mumbai,Mumbai,Maharashtra,Law
400046,Mumbai,Mumbai,Maharashtra,College
400047,Mumbai,Mumbai,Maharashtra,Seaweed
400048,Mumbai,Mumbai,Maharashtra,Fish
400049,Mumbai,Mumbai,Maharashtra,Prawn
400050,Mumbai,Mumbai,Maharashtra,Race Course
400051,Mumbai,Mumbai,Maharashtra,Abalone
400052,Mumbai,Mumbai,Maharashtra,Block
400053,Mumbai,Mumbai,Maharashtra,Sheep
400054,Mumbai,Mumbai,Maharashtra,Lobster
400055,Mumbai,Mumbai,Maharashtra,North
400056,Mumbai,Mumbai,Maharashtra,Avenue
400057,Mumbai,Mumbai,Maharashtra,Prawn
400058,Mumbai,Mumbai,Maharashtra,Station
400059,Mumbai,Mumbai,Maharashtra,Nursing
400060,Mumbai,Mumbai,Maharashtra,Hospital
400061,Mumbai,Mumbai,Maharashtra,Railway
400062,Mumbai,Mumbai,Maharashtra,Palace
400063,Mumbai,Mumbai,Maharashtra,Market
400064,Mumbai,Mumbai,Maharashtra,Bus Stand
400065,Mumbai,Mumbai,Maharashtra,Street
400066,Mumbai,Mumbai,Maharashtra,Plaza
400067,Mumbai,Mumbai,Maharashtra,City
400068,Mumbai,Mumbai,Maharashtra,Pig
400069,Mumbai,Mumbai,Maharashtra,Lobster
400070,Mumbai,Mumbai,Maharashtra,Barracks
400071,Mumbai,Mumbai,Maharashtra,Abalone
400072,Mumbai,Mumbai,Maharashtra,Nursing
400073,Mumbai,Mumbai,Maharashtra,Dental
400074,Mumbai,Mumbai,Maharashtra,Commerce
400075,Mumbai,Mumbai,Maharashtra,Sponge
400076,Mumbai,Mumbai,Maharashtra,Coral
400077,Mumbai,Mumbai,Maharashtra,Horticulture
400078,Mumbai,Mumbai,Maharashtra,Mussel
400079,Mumbai,Mumbai,Maharashtra,Main
400080,Mumbai,Mumbai,Maharashtra,Forestry
400081,Mumbai,Mumbai,Maharashtra,Main
400082,Mumbai,Mumbai,Maharashtra,Forestry
400083,Mumbai,Mumbai,Maharashtra,High Road
400084,Mumbai,Mumbai,Maharashtra,Colony
400085,Mumbai,Mumbai,Maharashtra,Railway
400086,Mumbai,Mumbai,Maharashtra,Park
400087,Mumbai,Mumbai,Maharashtra,Cantonment
400088,Mumbai,Mumbai,Maharashtra,Sector
400089,Mumbai,Mumbai,Maharashtra,Park
400090,Mumbai,Mumbai,Maharashtra,Block
400091,Mumbai,Mumbai,Maharashtra,Palace
400092,Mumbai,Mumbai,Maharashtra,Circle
400093,Mumbai,Mumbai,Maharashtra,Avenue
400094,Mumbai,Mumbai,Maharashtra,Suite
400095,Mumbai,Mumbai,Maharashtra,Commerce
400096,Mumbai,Mumbai,Maharashtra,Lobster
400097,Mumbai,Mumbai,Maharashtra,Nursing
400098,Mumbai,Mumbai,Maharashtra,Rabbit
400099,Mumbai,Mumbai,Maharashtra,Railway
400100,Mumbai,Mumbai,Maharashtra,Prawn
400101,Mumbai,Mumbai,Maharashtra,Park
400102,Mumbai,Mumbai,Maharashtra,Circle
400103,Mumbai,Mumbai,Maharashtra,Wing
400104,Mumbai,Mumbai,Maharashtra,Road
400105,Mumbai,Mumbai,Maharashtra,Medical
400106,Mumbai,Mumbai,Maharashtra,Colony
400107,Mumbai,Mumbai,Maharashtra,Mussel
400108,Mumbai,Mumbai,Maharashtra,North
400109,Mumbai,Mumbai,Maharashtra,Commerce
400110,Mumbai,Mumbai,Maharashtra,Wing
400111,Mumbai,Mumbai,Maharashtra,Science
400112,Mumbai,Mumbai,Maharashtra,Dental
400113,Mumbai,Mumbai,Maharashtra,Vihar
400114,Mumbai,Mumbai,Maharashtra,Pig
400115,Mumbai,Mumbai,Maharashtra,Wing
400116,Mumbai,Mumbai,Maharashtra,South
400117,Mumbai,Mumbai,Maharashtra,GPO
400118,Mumbai,Mumbai,Maharashtra,Cantonment
400119,Mumbai,Mumbai,Maharashtra,Scallop
400120,Mumbai,Mumbai,Maharashtra,Circle
400121,Mumbai,Mumbai,Maharashtra,Kunj
400122,Mumbai,Mumbai,Maharashtra,Starfish
400123,Mumbai,Mumbai,Maharashtra,University
400124,Mumbai,Mumbai,Maharashtra,Station
400125,Mumbai,Mumbai,Maharashtra,Pharmacy
400126,Mumbai,Mumbai,Maharashtra,Pig
400127,Mumbai,Mumbai,Maharashtra,Prawn
400128,Mumbai,Mumbai,Maharashtra,Road
400129,Mumbai,Mumbai,Maharashtra,Vihar
400130,Mumbai,Mumbai,Maharashtra,Garden
400131,Mumbai,Mumbai,Maharashtra,Crab
400132,Mumbai,Mumbai,Maharashtra,Barracks
400133,Mumbai,Mumbai,Maharashtra,Enclave
400134,Mumbai,Mumbai,Maharashtra,Dairy
400135,Mumbai,Mumbai,Maharashtra,East
400136,Mumbai,Mumbai,Maharashtra,Poultry
400137,Mumbai,Mumbai,Maharashtra,Railway
400138,Mumbai,Mumbai,Maharashtra,Floor
400139,Mumbai,Mumbai,Maharashtra,Sheep
400140,Mumbai,Mumbai,Maharashtra,Coral
400141,Mumbai,Mumbai,Maharashtra,Jellyfish
400142,Mumbai,Mumbai,Maharashtra,City
400143,Mumbai,Mumbai,Maharashtra,Nagar
400144,Mumbai,Mumbai,Maharashtra,Bus Stand
400145,Mumbai,Mumbai,Maharashtra,Nursing
400146,Mumbai,Mumbai,Maharashtra,City
400147,Mumbai,Mumbai,Maharashtra,Clam
400148,Mumbai,Mumbai,Maharashtra,Arts
400149,Mumbai,Mumbai,Maharashtra,Crab
400150,Mumbai,Mumbai,Maharashtra,Fort
400151,Mumbai,Mumbai,Maharashtra,Clam
400152,Mumbai,Mumbai,Maharashtra,Veterinary
400153,Mumbai,Mumbai,Maharashtra,Central
400154,Mumbai,Mumbai,Maharashtra,Fort
400155,Mumbai,Mumbai,Maharashtra,Clam
400156,Mumbai,Mumbai,Maharashtra,Crab
400157,Mumbai,Mumbai,Maharashtra,Wing
400158,Mumbai,Mumbai,Maharashtra,Lobster
400159,Mumbai,Mumbai,Maharashtra,Law
400160,Mumbai,Mumbai,Maharashtra,Enclave
400161,Mumbai,Mumbai,Maharashtra,Park
400162,Mumbai,Mumbai,Maharashtra,Block
400163,Mumbai,Mumbai,Maharashtra,University
400164,Mumbai,Mumbai,Maharashtra,Prawn
400165,Mumbai,Mumbai,Maharashtra,Bus Stand
400166,Mumbai,Mumbai,Maharashtra,Abalone
400167,Mumbai,Mumbai,Maharashtra,Nagar
400168,Mumbai,Mumbai,Maharashtra,Pig
400169,Mumbai,Mumbai,Maharashtra,Abalone
400170,Mumbai,Mumbai,Maharashtra,Pharmacy
400171,Mumbai,Mumbai,Maharashtra,Law
400172,Mumbai,Mumbai,Maharashtra,Airport
400173,Mumbai,Mumbai,Maharashtra,Commerce
400174,Mumbai,Mumbai,Maharashtra,Lane
400175,Mumbai,Mumbai,Maharashtra,Building
400176,Mumbai,Mumbai,Maharashtra,Coral
400177,Mumbai,Mumbai,Maharashtra,Jellyfish
400178,Mumbai,Mumbai,Maharashtra,Sector
400179,Mumbai,Mumbai,Maharashtra,Garden
400180,Mumbai,Mumbai,Maharashtra,Prawn
400181,Mumbai,Mumbai,Maharashtra,Lobster
400182,Mumbai,Mumbai,Maharashtra,Rabbit
400183,Mumbai,Mumbai,Maharashtra,Nursing
400184,Mumbai,Mumbai,Maharashtra,Forestry
400185,Mumbai,Mumbai,Maharashtra,Enclave
400186,Mumbai,Mumbai,Maharashtra,Hospital
400187,Mumbai,Mumbai,Maharashtra,Sericulture
400188,Mumbai,Mumbai,Maharashtra,Science
400189,Mumbai,Mumbai,Maharashtra,Arts
400190,Mumbai,Mumbai,Maharashtra,Clam
400191,Mumbai,Mumbai,Maharashtra,Street
400192,Mumbai,Mumbai,Maharashtra,Fort
400193,Mumbai,Mumbai,Maharashtra,Central
400194,Mumbai,Mumbai,Maharashtra,Garden
400195,Mumbai,Mumbai,Maharashtra,Residency
400196,Mumbai,Mumbai,Maharashtra,Residency
400197,Mumbai,Mumbai,Maharashtra,Commerce
400198,Mumbai,Mumbai,Maharashtra,Circle
400199,Mumbai,Mumbai,Maharashtra,East
400200,Mumbai,Mumbai,Maharashtra,Sheep
400201,Mumbai,Mumbai,Maharashtra,High Road
400202,Mumbai,Mumbai,Maharashtra,Lobster
400203,Mumbai,Mumbai,Maharashtra,Tower
400204,Mumbai,Mumbai,Maharashtra,Sericulture
400205,Mumbai,Mumbai,Maharashtra,Rabbit
400206,Mumbai,Mumbai,Maharashtra,Block
400207,Mumbai,Mumbai,Maharashtra,Road
400208,Mumbai,Mumbai,Maharashtra,Barracks
400209,Mumbai,Mumbai,Maharashtra,Phase
400210,Mumbai,Mumbai,Maharashtra,Plaza
400211,Mumbai,Mumbai,Maharashtra,Circle
400212,Mumbai,Mumbai,Maharashtra,Street
400213,Mumbai,Mumbai,Maharashtra,Airport
400214,Mumbai,Mumbai,Maharashtra,High Road
400215,Mumbai,Mumbai,Maharashtra,Market
400216,Mumbai,Mumbai,Maharashtra,Mussel
400217,Mumbai,Mumbai,Maharashtra,Lobster
400218,Mumbai,Mumbai,Maharashtra,High Road
400219,Mumbai,Mumbai,Maharashtra,Sheep
400220,Mumbai,Mumbai,Maharashtra,Law
400221,Mumbai,Mumbai,Maharashtra,Square
400222,Mumbai,Mumbai,Maharashtra,Pig
400223,Mumbai,Mumbai,Maharashtra,Seaweed
400224,Mumbai,Mumbai,Maharashtra,Scallop
400225,Mumbai,Mumbai,Maharashtra,Jellyfish
400226,Mumbai,Mumbai,Maharashtra,Sector
400227,Mumbai,Mumbai,Maharashtra,Street
400228,Mumbai,Mumbai,Maharashtra,Race Course
400229,Mumbai,Mumbai,Maharashtra,Lobster
400230,Mumbai,Mumbai,Maharashtra,Mussel
400231,Mumbai,Mumbai,Maharashtra,Mussel
400232,Mumbai,Mumbai,Maharashtra,Dairy
400233,Mumbai,Mumbai,Maharashtra,Main
400234,Mumbai,Mumbai,Maharashtra,Phase
400235,Mumbai,Mumbai,Maharashtra,Pig
400236,Mumbai,Mumbai,Maharashtra,Airport
400237,Mumbai,Mumbai,Maharashtra,Vihar
400238,Mumbai,Mumbai,Maharashtra,Complex
400239,Mumbai,Mumbai,Maharashtra,Complex
400240,Mumbai,Mumbai,Maharashtra,Nagar
400241,Mumbai,Mumbai,Maharashtra,Goat
400242,Mumbai,Mumbai,Maharashtra,Rabbit
400243,Mumbai,Mumbai,Maharashtra,Crab
400244,Mumbai,Mumbai,Maharashtra,Park
400245,Mumbai,Mumbai,Maharashtra,Block
400246,Mumbai,Mumbai,Maharashtra,Residency
400247,Mumbai,Mumbai,Maharashtra,Cantonment
400248,Mumbai,Mumbai,Maharashtra,Nagar
400249,Mumbai,Mumbai,Maharashtra,Commerce
400250,Mumbai,Mumbai,Maharashtra,Bus Stand
400251,Mumbai,Mumbai,Maharashtra,Algae
400252,Mumbai,Mumbai,Maharashtra,Tower
400253,Mumbai,Mumbai,Maharashtra,Street
400254,Mumbai,Mumbai,Maharashtra,North
400255,Mumbai,Mumbai,Maharashtra,Park
400256,Mumbai,Mumbai,Maharashtra,Fish
400257,Mumbai,Mumbai,Maharashtra,East
400258,Mumbai,Mumbai,Maharashtra,Fisheries
400259,Mumbai,Mumbai,Maharashtra,Algae
400260,Mumbai,Mumbai,Maharashtra,Vihar
400261,Mumbai,Mumbai,Maharashtra,Oyster
400262,Mumbai,Mumbai,Maharashtra,Airport
400263,Mumbai,Mumbai,Maharashtra,Garden
400264,Mumbai,Mumbai,Maharashtra,West
400265,Mumbai,Mumbai,Maharashtra,Sericulture
